,Unnamed: 0,법정동코드,중등교원총계,중등학령인구,중학교학업중단자수,고등학교학업중단자수,비평준화여부
0,0,11110.0,1288,25306,30.0,175.0,0.0
1,1,11140.0,1003,17866,16.0,88.0,0.0
2,2,11170.0,987,15160,76.0,94.0,0.0
3,3,11200.0,1016,12856,36.0,59.0,0.0
4,4,11215.0,1322,21872,72.0,146.0,0.0
5,5,11230.0,1370,19334,37.0,161.0,0.0
6,6,11260.0,1357,18274,48.0,129.0,0.0
7,7,11290.0,1683,22648,87.0,190.0,0.0
8,8,11305.0,1017,13674,49.0,89.0,0.0
9,9,11320.0,1328,17732,35.0,114.0,0.0
10,10,11350.0,3417,57532,120.0,354.0,0.0
11,11,11380.0,2108,32510,71.0,210.0,0.0
12,12,11410.0,1072,13142,38.0,134.0,0.0
13,13,11440.0,1127,13884,84.0,95.0,0.0
14,14,11470.0,2387,34158,191.0,244.0,0.0
15,15,11500.0,2438,41370,84.0,341.0,0.0
16,16,11530.0,1596,23496,57.0,139.0,0.0
17,17,11545.0,877,11904,28.0,65.0,0.0
18,18,11560.0,1198,16732,76.0,98.0,0.0
19,19,11590.0,1261,15620,57.0,77.0,0.0
20,20,11620.0,1750,24980,62.0,203.0,0.0
21,21,11650.0,1767,27016,250.0,254.0,0.0
22,22,11680.0,2780,49130,354.0,412.0,0.0
23,23,11710.0,2828,41756,207.0,265.0,0.0
24,24,11740.0,1969,28660,63.0,174.0,0.0
25,25,26110.0,261,5510,1.0,56.0,0.0
26,26,26140.0,586,7372,14.0,34.0,0.0
27,27,26170.0,510,8096,7.0,41.0,0.0
28,28,26200.0,634,7720,20.0,56.0,0.0
29,29,26230.0,1871,26916,42.0,123.0,0.0
30,30,26260.0,1492,25714,43.0,101.0,0.0
31,31,26290.0,1516,21954,57.0,221.0,0.0
32,32,26320.0,1261,16940,42.0,41.0,0.0
33,33,26350.0,1822,24670,98.0,154.0,0.0
34,34,26380.0,1453,21158,39.0,104.0,0.0
35,35,26410.0,1258,20006,44.0,104.0,0.0
36,36,26440.0,444,5508,30.0,74.0,0.0
37,37,26470.0,564,6110,12.0,34.0,0.0
38,38,26500.0,518,8174,13.0,36.0,0.0
39,39,26530.0,705,7404,12.0,49.0,0.0
40,40,26710.0,497,6294,25.0,39.0,0.0
41,41,27110.0,537,10568,8.0,39.0,0.0
42,42,27140.0,1253,17486,29.0,256.0,0.0
43,43,27170.0,784,11128,8.0,118.0,0.0
44,44,27200.0,874,16154,7.0,118.0,0.0
45,45,27230.0,2214,30194,29.0,95.0,0.0
46,46,27260.0,2688,44060,121.0,273.0,0.0
47,47,27290.0,3423,52370,60.0,296.0,0.0
48,48,27710.0,777,8438,11.0,61.0,0.0
49,49,28110.0,1104,17930,29.0,88.0,0.0
50,50,28140.0,301,4914,5.0,26.0,0.0
51,51,28177.0,1695,27222,45.0,218.0,
52,52,28185.0,1733,27120,122.0,254.0,0.0
53,53,28200.0,2113,28732,75.0,139.0,0.0
54,54,28237.0,2374,34372,60.0,218.0,0.0
55,55,28245.0,1487,21080,37.0,72.0,0.0
56,56,28260.0,2125,31292,100.0,196.0,0.0
57,57,28710.0,346,4278,3.0,18.0,0.0
58,58,28720.0,122,588,0.0,5.0,0.0
59,59,29110.0,514,9560,15.0,41.0,0.0
60,60,29140.0,1193,15608,39.0,69.0,0.0
61,61,29155.0,1694,34088,49.0,306.0,0.0
62,62,29170.0,2435,38460,68.0,167.0,0.0
63,63,29200.0,2234,30158,64.0,233.0,0.0
64,64,30110.0,1094,16736,31.0,91.0,0.0
65,65,30140.0,1531,28434,31.0,146.0,0.0
66,66,30170.0,2430,33840,115.0,149.0,0.0
67,67,30200.0,1910,29322,123.0,267.0,0.0
68,68,30230.0,827,8864,22.0,74.0,0.0
69,69,31110.0,1068,15430,21.0,44.0,0.0
70,70,31140.0,1962,33102,67.0,119.0,0.0
71,71,31170.0,915,13802,18.0,50.0,0.0
72,72,31200.0,1156,14860,20.0,37.0,0.0
73,73,31710.0,1071,15086,23.0,157.0,0.0
74,74,36110.0,1119,10224,52.0,103.0,
75,75,41110.0,6106,95226,288.0,682.0,0.0
76,76,41130.0,4838,71566,385.0,616.0,0.0
77,77,41190.0,4162,58936,132.0,373.0,0.0
78,78,41170.0,3172,50410,122.0,351.0,0.0
79,79,41290.0,433,7250,43.0,52.0,0.0
80,80,41270.0,3712,61220,113.0,368.0,0.0
81,81,41460.0,4256,62542,425.0,493.0,0.0
82,82,41410.0,1310,19242,68.0,144.0,0.0
83,83,41430.0,620,8430,27.0,63.0,0.0
84,84,41390.0,2024,31598,56.0,137.0,1.0
85,85,41220.0,2237,35656,81.0,254.0,1.0
86,86,41590.0,2423,33364,172.0,255.0,1.0
87,87,41370.0,990,15378,38.0,105.0,1.0
88,88,41210.0,1687,22188,59.0,137.0,0.0
89,89,41610.0,973,14808,52.0,100.0,1.0
90,90,41450.0,727,9432,19.0,79.0,1.0
91,91,41570.0,1542,21540,78.0,190.0,1.0
92,92,41500.0,1116,15908,21.0,104.0,1.0
93,93,41550.0,824,11218,24.0,73.0,1.0
94,94,,599,7530,,,
95,95,41830.0,533,7252,35.0,49.0,0.0
96,96,41280.0,5038,79264,263.0,691.0,0.0
97,97,41570.0,2822,42308,115.0,252.0,1.0
98,98,41310.0,875,14138,25.0,92.0,1.0
99,99,41150.0,2175,32570,54.0,260.0,0.0
100,100,41480.0,1781,25586,91.0,195.0,1.0
101,101,41250.0,482,7330,12.0,60.0,1.0
102,102,41630.0,782,11422,27.0,49.0,1.0
103,103,41650.0,741,9664,9.0,63.0,1.0
104,104,41820.0,309,3820,12.0,17.0,0.0
105,105,41800.0,217,2312,4.0,22.0,0.0
106,106,42110.0,1473,21730,41.0,164.0,1.0
107,107,42130.0,1678,25878,59.0,238.0,1.0
108,108,42150.0,1081,15842,29.0,115.0,1.0
109,109,42170.0,507,7134,12.0,29.0,1.0
110,110,42190.0,297,3286,5.0,24.0,1.0
111,111,42210.0,412,6102,19.0,25.0,1.0
112,112,42230.0,441,4282,4.0,18.0,1.0
113,113,42720.0,405,4694,15.0,39.0,1.0
114,114,42730.0,307,3140,5.0,29.0,1.0
115,115,42750.0,295,2570,3.0,20.0,1.0
116,116,42760.0,245,2158,3.0,5.0,1.0
117,117,42770.0,246,2000,1.0,9.0,1.0
118,118,42780.0,257,3212,4.0,9.0,1.0
119,119,42790.0,143,1308,2.0,4.0,1.0
120,120,42800.0,177,1956,0.0,3.0,1.0
121,121,42810.0,172,1608,9.0,7.0,1.0
122,122,42820.0,164,1580,4.0,32.0,1.0
123,123,42830.0,142,1192,1.0,12.0,1.0
124,124,43110.0,4087,65830,147.0,453.0,1.0
125,125,43130.0,1032,14924,22.0,95.0,1.0
126,126,43150.0,688,9966,14.0,70.0,1.0
127,127,43720.0,190,1944,2.0,43.0,1.0
128,128,43730.0,226,2754,5.0,16.0,1.0
129,129,43740.0,278,2872,3.0,12.0,1.0
130,130,43750.0,333,4068,5.0,37.0,1.0
131,131,43760.0,153,1012,7.0,9.0,1.0
132,132,43770.0,421,4384,8.0,25.0,1.0
133,133,43800.0,163,1300,1.0,3.0,1.0
134,134,43745.0,226,3400,1.0,96.0,1.0
135,135,44130.0,2911,49084,103.0,386.0,1.0
136,136,44150.0,708,10462,10.0,51.0,1.0
137,137,44180.0,512,5646,13.0,39.0,1.0
138,138,44200.0,1236,19094,36.0,144.0,1.0
139,139,44210.0,788,10964,25.0,69.0,1.0
140,140,44230.0,792,11194,8.0,98.0,1.0
141,141,44250.0,240,3030,12.0,12.0,1.0
142,142,44710.0,286,2896,4.0,20.0,1.0
143,143,44760.0,391,4256,9.0,25.0,1.0
144,144,44770.0,346,3860,0.0,39.0,1.0
145,145,44790.0,178,1734,1.0,12.0,1.0
146,146,44800.0,527,6422,11.0,36.0,1.0
147,147,44810.0,460,5686,3.0,61.0,1.0
148,148,44825.0,305,3396,5.0,19.0,1.0
149,149,44270.0,676,9402,27.0,53.0,1.0
150,150,45110.0,3328,55340,104.0,247.0,1.0
151,151,45130.0,1257,18116,33.0,75.0,1.0
152,152,45140.0,1611,24154,29.0,124.0,1.0
153,153,45180.0,808,10012,9.0,62.0,1.0
154,154,45190.0,532,5968,12.0,58.0,1.0
155,155,45210.0,566,6892,11.0,86.0,1.0
156,156,45710.0,572,6868,22.0,71.0,1.0
157,157,45720.0,195,1364,3.0,14.0,1.0
158,158,45730.0,182,1382,2.0,13.0,1.0
159,159,45740.0,193,1584,1.0,15.0,1.0
160,160,45750.0,166,1026,1.0,17.0,1.0
161,161,45770.0,178,1580,2.0,10.0,1.0
162,162,45790.0,430,5134,8.0,49.0,1.0
163,163,45800.0,366,3668,7.0,13.0,1.0
164,164,46110.0,1444,21086,35.0,154.0,1.0
165,165,46130.0,1485,21516,28.0,118.0,1.0
166,166,46150.0,1640,25944,48.0,154.0,1.0
167,167,46170.0,590,6938,4.0,58.0,1.0
168,168,46230.0,821,12204,16.0,33.0,1.0
169,169,46710.0,275,3798,2.0,31.0,1.0
170,170,46720.0,174,2168,3.0,24.0,1.0
171,171,46730.0,137,1198,2.0,7.0,1.0
172,172,46770.0,328,2724,1.0,31.0,1.0
173,173,46780.0,299,2938,2.0,29.0,1.0
174,174,46790.0,358,4750,10.0,18.0,1.0
175,175,46800.0,247,2242,4.0,13.0,1.0
176,176,46810.0,264,2026,3.0,6.0,1.0
177,177,46820.0,350,3864,2.0,60.0,1.0
178,178,46830.0,354,3550,4.0,25.0,1.0
179,179,46840.0,393,4884,5.0,21.0,1.0
180,180,46860.0,238,2698,1.0,13.0,1.0
181,181,46870.0,356,4032,6.0,37.0,1.0
182,182,46880.0,255,3074,1.0,15.0,1.0
183,183,46890.0,307,2376,3.0,13.0,1.0
184,184,46900.0,196,1562,6.0,8.0,1.0
185,185,46910.0,240,1242,2.0,12.0,1.0
186,186,47110.0,2666,38414,59.0,223.0,0.0
187,187,47130.0,1294,18558,23.0,185.0,0.0
188,188,47150.0,726,10296,12.0,57.0,0.0
189,189,47170.0,882,11778,19.0,63.0,0.0
190,190,47190.0,2455,34442,51.0,162.0,0.0
191,191,47210.0,583,8260,7.0,40.0,0.0
192,192,47230.0,482,5822,8.0,46.0,0.0
193,193,47250.0,603,7564,11.0,41.0,0.0
194,194,47280.0,382,4822,5.0,47.0,0.0
195,195,47290.0,991,14242,25.0,69.0,0.0
196,196,47720.0,106,840,3.0,4.0,0.0
197,197,47730.0,292,2122,0.0,23.0,0.0
198,198,47750.0,162,958,4.0,15.0,0.0
199,199,47760.0,109,984,1.0,9.0,0.0
200,200,47770.0,186,1504,2.0,10.0,0.0
201,201,47820.0,236,3644,2.0,44.0,0.0
202,202,47830.0,149,1182,3.0,9.0,0.0
203,203,47840.0,219,2158,1.0,10.0,0.0
204,204,47850.0,537,6348,7.0,27.0,0.0
205,205,47900.0,205,1692,3.0,8.0,0.0
206,206,47920.0,175,1342,7.0,8.0,0.0
207,207,47930.0,302,3214,8.0,25.0,0.0
208,208,47940.0,65,290,0.0,1.0,0.0
209,209,48120.0,5229,79286,114.0,410.0,1.0
210,210,48170.0,1874,29004,35.0,161.0,1.0
211,211,48220.0,607,8990,14.0,99.0,1.0
212,212,48240.0,571,6966,9.0,44.0,1.0
213,213,48250.0,2670,40770,66.0,289.0,1.0
214,214,48270.0,533,6328,5.0,55.0,1.0
215,215,48310.0,1220,18476,26.0,113.0,1.0
216,216,48330.0,1292,20106,31.0,120.0,1.0
217,217,48720.0,134,1240,1.0,4.0,1.0
218,218,48730.0,316,3412,5.0,27.0,1.0
219,219,48740.0,357,4394,1.0,26.0,1.0
220,220,48820.0,309,3530,9.0,19.0,1.0
221,221,48840.0,314,3334,0.0,27.0,1.0
222,222,48850.0,256,2058,6.0,14.0,1.0
223,223,48860.0,243,1932,7.0,20.0,1.0
224,224,48870.0,212,2246,1.0,12.0,1.0
225,225,48880.0,409,5840,5.0,26.0,1.0
226,226,48890.0,255,2256,7.0,15.0,1.0
227,227,50110.0,2135,34904,71.0,152.0,1.0
228,228,50130.0,826,11064,26.0,57.0,1.0
